genres,len,Long Title
Biography,12,"['Coach Carter (2005)', 'Catch Me If You Can (2002)', ""Won't You Be My Neighbor? (2018)"", 'Jerry and Marge Go Large (2022)', 'The Founder (2016)', 'Society of the Snow (2023)', 'The Social Network (2010)', 'Green Book (2018)', 'Remember the Titans (2000)', 'Tombstone (1993)', 'The Iron Claw (2023)', 'Captain Phillips (2013)']"
Fantasy,11,"['Wicked (2024)', 'The Curious Case of Benjamin Button (2008)', 'Hot Frosty (2024)', 'Edward Scissorhands (1990)', 'Girl Haunts Boy (2024)', 'Liar Liar (1997)', 'Irish Wish (2024)', 'Penelope (2006)', 'Just My Luck (2006)', 'Beetlejuice Beetlejuice (2024)', 'The Hot Chick (2002)']"
Sport,10,"['Home Team (2022)', 'Rocky IV (1985)', 'Talladega Nights: The Ballad of Ricky Bobby (2006)', 'Rocky V (1990)', 'Rocky II (1979)', 'Rocky Balboa (2006)', 'Air (2023)', 'Rocky (1976)', 'The Waterboy (1998)', 'Rocky III (1982)']"
Thriller,8,"['Split (2016)', ""The Pope's Exorcist (2023)"", 'Subservience (2024)', 'The Hurt Locker (2008)', 'Knox Goes Away (2023)', 'Fall (2022)', 'Self Reliance (2023)', 'Memento (2000)']"
Documentary,6,"[""Star Wars Galaxy's Edge: Adventure Awaits (2019) (TV)"", ""Won't You Be My Neighbor? (2018)"", '¡Casa Bonita Mi Amor! (2024)', 'MoviePass, MovieCrash (2024)', 'Mysteries of the Terracotta Warriors (2024)', 'Living with Leopards (2024)']"
Music,5,"['Pitch Perfect (2012)', ""Wayne's World (1992)"", 'Pitch Perfect 2 (2015)', 'Find Me Falling (2024)', 'Música (2024)']"
Sci-Fi,5,"['The Wild Robot (2024)', 'Subservience (2024)', 'Gravity (2013)', 'Children of Men (2006)', 'The Animal (2001)']"
Musical,3,"['Mean Girls (2024)', 'Wicked (2024)', 'Joker: Folie à Deux (2024)']"
History,1,['Mysteries of the Terracotta Warriors (2024)']
War,1,['Sisu (2022)']
